#date: 05.12.2020	time: 19:27:40
#time, s	VRes, V	P, W	Tin, K	Tmid, K	, Tmid2,K	, Tsur,K	Twat, K
2.51800E+0	2.14940E-5	2.30996E-11	2.97356E+2	2.97940E+2	2.97652E+2	2.99463E+2	3.00487E+2
4.21000E+0	2.07178E-5	2.14614E-11	2.97343E+2	2.97911E+2	2.97665E+2	2.99422E+2	3.00483E+2
4.93700E+0	2.11019E-5	2.22644E-11	2.97332E+2	2.97914E+2	2.97668E+2	2.99422E+2	3.00495E+2
5.65600E+0	2.17494E-5	2.36518E-11	2.97310E+2	2.97908E+2	2.97677E+2	2.99439E+2	3.00482E+2
6.38400E+0	2.07127E-5	2.14507E-11	2.97297E+2	2.97923E+2	2.97659E+2	2.99428E+2	3.00510E+2
7.11100E+0	2.18451E-5	2.38604E-11	2.97262E+2	2.97906E+2	2.97660E+2	2.99459E+2	3.00470E+2
7.83900E+0	2.00398E-5	2.00796E-11	2.97259E+2	2.97908E+2	2.97667E+2	2.99427E+2	3.00459E+2
8.56400E+0	2.08272E-5	2.16885E-11	2.97240E+2	2.97950E+2	2.97653E+2	2.99434E+2	3.00492E+2
9.29100E+0	2.07583E-5	2.15453E-11	2.97223E+2	2.97939E+2	2.97657E+2	2.99455E+2	3.00479E+2
1.00160E+1	2.01277E-5	2.02563E-11	2.97231E+2	2.97909E+2	2.97675E+2	2.99476E+2	3.00473E+2
1.07380E+1	2.10508E-5	2.21569E-11	2.97205E+2	2.97954E+2	2.97678E+2	2.99449E+2	3.00466E+2
1.14570E+1	2.00366E-5	2.00732E-11	2.97169E+2	2.97930E+2	2.97666E+2	2.99445E+2	3.00476E+2
1.21770E+1	2.02290E-5	2.04607E-11	2.97174E+2	2.97932E+2	2.97673E+2	2.99446E+2	3.00473E+2
1.28970E+1	2.00450E-5	2.00900E-11	2.97176E+2	2.97915E+2	2.97675E+2	2.99460E+2	3.00475E+2
1.36160E+1	1.87282E-5	1.75373E-11	2.97152E+2	2.97947E+2	2.97702E+2	2.99463E+2	3.00479E+2
1.43430E+1	1.99749E-5	1.99499E-11	2.97135E+2	2.97934E+2	2.97666E+2	2.99446E+2	3.00471E+2
1.50710E+1	1.90791E-5	1.82005E-11	2.97106E+2	2.97917E+2	2.97700E+2	2.99437E+2	3.00460E+2
1.57980E+1	1.89347E-5	1.79262E-11	2.97121E+2	2.97948E+2	2.97696E+2	2.99450E+2	3.00469E+2
1.65250E+1	1.87789E-5	1.76324E-11	2.97111E+2	2.97963E+2	2.97673E+2	2.99475E+2	3.00468E+2
1.72530E+1	1.84312E-5	1.69854E-11	2.97081E+2	2.97949E+2	2.97680E+2	2.99474E+2	3.00477E+2
1.79750E+1	1.86322E-5	1.73580E-11	2.97065E+2	2.97958E+2	2.97658E+2	2.99451E+2	3.00467E+2
1.86950E+1	1.82916E-5	1.67291E-11	2.97056E+2	2.97949E+2	2.97706E+2	2.99445E+2	3.00466E+2
1.94160E+1	1.96371E-5	1.92808E-11	2.97050E+2	2.97955E+2	2.97676E+2	2.99437E+2	3.00446E+2
2.01360E+1	1.83145E-5	1.67711E-11	2.97038E+2	2.97942E+2	2.97693E+2	2.99439E+2	3.00455E+2
2.08640E+1	1.85260E-5	1.71606E-11	2.97007E+2	2.97954E+2	2.97683E+2	2.99463E+2	3.00462E+2
2.15880E+1	1.83050E-5	1.67536E-11	2.96990E+2	2.97964E+2	2.97723E+2	2.99453E+2	3.00462E+2
2.23150E+1	1.86460E-5	1.73837E-11	2.96984E+2	2.97937E+2	2.97673E+2	2.99472E+2	3.00446E+2
2.30360E+1	1.78300E-5	1.58954E-11	2.96995E+2	2.97984E+2	2.97697E+2	2.99460E+2	3.00448E+2
2.37560E+1	1.72976E-5	1.49603E-11	2.96989E+2	2.97975E+2	2.97686E+2	2.99434E+2	3.00441E+2
2.44820E+1	1.74810E-5	1.52792E-11	2.96976E+2	2.97961E+2	2.97711E+2	2.99444E+2	3.00464E+2
2.52080E+1	1.79649E-5	1.61369E-11	2.96950E+2	2.97938E+2	2.97702E+2	2.99447E+2	3.00475E+2
2.59390E+1	1.76303E-5	1.55414E-11	2.96960E+2	2.97963E+2	2.97693E+2	2.99450E+2	3.00479E+2
2.66550E+1	1.68000E-5	1.41120E-11	2.96922E+2	2.97981E+2	2.97715E+2	2.99437E+2	3.00474E+2
2.73750E+1	1.71929E-5	1.47797E-11	2.96930E+2	2.97966E+2	2.97708E+2	2.99469E+2	3.00426E+2
2.81020E+1	1.70009E-5	1.44515E-11	2.96899E+2	2.97981E+2	2.97695E+2	2.99448E+2	3.00440E+2
2.88260E+1	1.75744E-5	1.54430E-11	2.96891E+2	2.97984E+2	2.97715E+2	2.99467E+2	3.00440E+2
2.95500E+1	1.79202E-5	1.60567E-11	2.96880E+2	2.97960E+2	2.97717E+2	2.99479E+2	3.00462E+2
3.02760E+1	1.73325E-5	1.50207E-11	2.96887E+2	2.97963E+2	2.97715E+2	2.99456E+2	3.00452E+2
3.10010E+1	1.74683E-5	1.52571E-11	2.96858E+2	2.97960E+2	2.97715E+2	2.99451E+2	3.00451E+2
3.17270E+1	1.81420E-5	1.64567E-11	2.96841E+2	2.97988E+2	2.97730E+2	2.99472E+2	3.00454E+2
3.24460E+1	1.64099E-5	1.34642E-11	2.96840E+2	2.97957E+2	2.97724E+2	2.99458E+2	3.00472E+2
3.31680E+1	1.62433E-5	1.31922E-11	2.96840E+2	2.97972E+2	2.97712E+2	2.99479E+2	3.00469E+2
3.38950E+1	1.67638E-5	1.40512E-11	2.96823E+2	2.97985E+2	2.97719E+2	2.99457E+2	3.00478E+2
3.46200E+1	1.71395E-5	1.46881E-11	2.96818E+2	2.98000E+2	2.97737E+2	2.99439E+2	3.00480E+2
3.53450E+1	1.65482E-5	1.36921E-11	2.96798E+2	2.97979E+2	2.97763E+2	2.99447E+2	3.00464E+2
3.60670E+1	1.76006E-5	1.54890E-11	2.96792E+2	2.98003E+2	2.97735E+2	2.99453E+2	3.00441E+2
3.67950E+1	1.72879E-5	1.49436E-11	2.96785E+2	2.98017E+2	2.97734E+2	2.99450E+2	3.00458E+2
3.75200E+1	1.59288E-5	1.26864E-11	2.96755E+2	2.97993E+2	2.97719E+2	2.99444E+2	3.00453E+2
3.82470E+1	1.63127E-5	1.33051E-11	2.96768E+2	2.97980E+2	2.97748E+2	2.99467E+2	3.00458E+2
3.89650E+1	1.67725E-5	1.40658E-11	2.96761E+2	2.98001E+2	2.97753E+2	2.99484E+2	3.00446E+2
3.96850E+1	1.63436E-5	1.33557E-11	2.96759E+2	2.98009E+2	2.97772E+2	2.99461E+2	3.00470E+2
4.04040E+1	1.61177E-5	1.29891E-11	2.96767E+2	2.98017E+2	2.97751E+2	2.99455E+2	3.00428E+2
4.11260E+1	1.62272E-5	1.31661E-11	2.96741E+2	2.97998E+2	2.97755E+2	2.99478E+2	3.00463E+2
