x	y	yerr
24.267	212.46	19.72
25.000	215.86	20.03
23.114	242.40	19.28
24.267	248.62	19.78
23.338	209.20	19.41
12.486	204.31	13.75
14.133	217.66	14.65
12.226	177.38	13.65
13.820	215.82	14.53
13.418	212.95	14.33
3.670	139.57	8.26
3.642	153.34	8.25
3.712	141.10	8.35
3.684	126.83	8.34
3.698	141.55	8.37
2.137	107.97	6.39
2.119	129.43	6.38
2.150	119.91	6.45
2.163	120.65	6.49
2.131	120.17	6.46
1.722	118.28	5.83
1.759	109.96	5.91
1.768	100.59	5.95
1.745	110.32	5.93
1.759	111.15	5.98
1.365	98.30	4.81
1.368	107.79	4.84
1.381	99.67	4.88
1.378	99.95	4.89
1.371	100.11	4.90
0.839	64.38	3.98
0.870	73.23	4.08
0.826	71.72	3.99
0.829	72.21	4.02
0.854	66.27	4.10
