x	y	yerr
2.219	212.46	19.72
2.236	215.86	20.03
2.193	242.40	19.28
2.219	248.62	19.78
2.198	209.20	19.41
1.880	204.31	13.75
1.939	217.66	14.65
1.870	177.38	13.65
1.928	215.82	14.53
1.914	212.95	14.33
1.384	139.57	8.26
1.381	153.34	8.25
1.388	141.10	8.35
1.385	126.83	8.34
1.387	141.55	8.37
1.209	107.97	6.39
1.206	129.43	6.38
1.211	119.91	6.45
1.213	120.65	6.49
1.208	120.17	6.46
1.146	118.28	5.83
1.152	109.96	5.91
1.153	100.59	5.95
1.149	110.32	5.93
1.152	111.15	5.98
1.081	98.30	4.81
1.081	107.79	4.84
1.084	99.67	4.88
1.083	99.95	4.89
1.082	100.11	4.90
0.957	64.38	3.98
0.966	73.23	4.08
0.953	71.72	3.99
0.954	72.21	4.02
0.961	66.27	4.10
