Nov 19, 2020  02:21:42 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.24E-004 
Filament Current, 1.00, mAmps


  1.00,   1.56E-007, 
  1.10,   1.98E-007, 
  1.20,   1.77E-006, 
  1.30,   4.89E-006, 
  1.40,   4.68E-006, 
  1.50,   8.01E-006, 
  1.60,   9.93E-006, 
  1.70,   1.09E-005, 
  1.80,   1.29E-005, 
  1.90,   1.44E-005, 
  2.00,   1.62E-005, 
  2.10,   1.59E-005, 
  2.20,   1.61E-005, 
  2.30,   1.44E-005, 
  2.40,   8.31E-006, 
  2.50,   8.61E-007, 
  2.60,   6.79E-008, 
  2.70,   2.85E-008, 
  2.80,   2.77E-008, 
  2.90,   3.50E-008, 
  3.00,   4.32E-008, 
  3.10,   4.49E-008, 
  3.20,   4.73E-008, 
  3.30,   4.45E-008, 
  3.40,   2.96E-008, 
  3.50,   1.12E-008, 
  3.60,   4.14E-009, 
  3.70,   2.01E-009, 
  3.80,   1.37E-009, 
  3.90,   1.34E-009, 
  4.00,   1.63E-009, 
  4.10,   1.87E-009, 
  4.20,   2.09E-009, 
  4.30,   2.15E-009, 
  4.40,   1.43E-009, 
  4.50,   3.96E-010, 
  4.60,   9.22E-011, 
  4.70,  -2.77E-010, 
  4.80,  -4.26E-010, 
  4.90,  -5.23E-010, 
  5.00,  -4.51E-010, 
  5.10,  -4.33E-010, 
  5.20,  -4.68E-010, 
  5.30,  -4.22E-010, 
  5.40,  -4.22E-010, 
  5.50,  -4.74E-010, 
  5.60,  -4.68E-010, 
  5.70,  -3.99E-010, 
  5.80,  -3.29E-010, 
  5.90,  -3.07E-010, 
  6.00,  -3.07E-010, 
  6.10,  -1.96E-010, 
  6.20,  -1.50E-010, 
  6.30,  -4.85E-011, 
  6.40,  -1.89E-010, 
  6.50,  -3.70E-010, 
  6.60,  -4.10E-010, 
  6.70,  -4.21E-010, 
  6.80,  -3.11E-010, 
  6.90,  -2.91E-010, 
  7.00,  -1.54E-010, 
  7.10,  -1.47E-010, 
  7.20,  -2.05E-010, 
  7.30,  -1.17E-010, 
  7.40,  -5.02E-011, 
  7.50,  -2.67E-011, 
  7.60,   1.97E-010, 
  7.70,   3.96E-010, 
  7.80,   6.43E-010, 
  7.90,   1.03E-009, 
  8.00,   1.47E-009, 
  8.10,   1.84E-009, 
  8.20,   2.01E-009, 
  8.30,   1.85E-009, 
  8.40,   1.30E-009, 
  8.50,   8.33E-010, 
  8.60,   6.17E-010, 
  8.70,   4.23E-010, 
  8.80,   3.98E-010, 
  8.90,   2.79E-010, 
  9.00,   5.99E-011, 
  9.10,  -9.30E-011, 
  9.20,  -2.03E-010, 
  9.30,  -2.78E-010, 
  9.40,  -3.83E-010, 
  9.50,  -2.77E-010, 
  9.60,  -2.46E-010, 
  9.70,  -2.31E-010, 
  9.80,  -1.42E-010, 
  9.90,  -1.63E-010, 
 10.00,  -1.70E-010, 
 10.10,  -5.74E-011, 
 10.20,  -6.47E-011, 
 10.30,  -1.78E-011, 
 10.40,  -3.07E-011, 
 10.50,   5.83E-011, 
 10.60,   1.98E-010, 
 10.70,   2.75E-010, 
 10.80,   4.63E-010, 
 10.90,   6.05E-010, 
 11.00,   1.12E-009, 
 11.10,   1.96E-009, 
 11.20,   3.69E-009, 
 11.30,   7.88E-009, 
 11.40,   1.99E-008, 
 11.50,   1.22E-007, 
 11.60,   4.49E-007, 
 11.70,   5.45E-007, 
 11.80,   6.96E-007, 
 11.90,   9.29E-007, 
 12.00,   9.99E-007, 
 12.10,   1.07E-006, 
 12.20,   9.33E-007, 
 12.30,   6.66E-007, 
 12.40,   1.59E-007, 
 12.50,   2.47E-008, 
 12.60,   3.43E-008, 
 12.70,   5.06E-008, 
 12.80,   6.40E-008, 
 12.90,   8.85E-008, 
 13.00,   1.01E-007, 
 13.10,   1.11E-007, 
 13.20,   1.06E-007, 
 13.30,   8.88E-008, 
 13.40,   4.86E-008, 
 13.50,   4.91E-008, 
 13.60,   2.40E-007, 
 13.70,   3.29E-007, 
 13.80,   3.98E-007, 
 13.90,   5.14E-007, 
 14.00,   5.50E-007, 
 14.10,   6.09E-007, 
 14.20,   5.50E-007, 
 14.30,   4.60E-007, 
 14.40,   1.55E-007, 
 14.50,   7.65E-008, 
 14.60,   3.87E-007, 
 14.70,   5.67E-007, 
 14.80,   6.83E-007, 
 14.90,   9.12E-007, 
 15.00,   9.92E-007, 
 15.10,   1.10E-006, 
 15.20,   1.02E-006, 
 15.30,   9.10E-007, 
 15.40,   3.98E-007, 
 15.50,   5.78E-007, 
 15.60,   2.11E-006, 
 15.70,   2.73E-006, 
 15.80,   3.39E-006, 
 15.90,   4.25E-006, 
 16.00,   4.52E-006, 
 16.10,   4.98E-006, 
 16.20,   4.46E-006, 
 16.30,   3.88E-006, 
 16.40,   1.19E-006, 
 16.50,   2.06E-006, 
 16.60,   8.57E-006, 
 16.70,   1.15E-005, 
 16.80,   1.39E-005, 
 16.90,   1.73E-005, 
 17.00,   1.83E-005, 
 17.10,   2.09E-005, 
 17.20,   1.82E-005, 
 17.30,   1.67E-005, 
 17.40,   4.97E-006, 
 17.50,   6.63E-006, 
 17.60,   2.89E-005, 
 17.70,   5.35E-005, 
 17.80,   6.51E-005, 
 17.90,   8.29E-005, 
 18.00,   8.80E-005, 
 18.10,   1.03E-004, 
 18.20,   9.37E-005, 
 18.30,   8.70E-005, 
 18.40,   1.85E-005, 
 18.50,   5.81E-007, 
 18.60,   7.81E-007, 
 18.70,   1.24E-006, 
 18.80,   1.55E-006, 
 18.90,   1.94E-006, 
 19.00,   2.05E-006, 
 19.10,   2.34E-006, 
 19.20,   2.08E-006, 
 19.30,   1.86E-006, 
 19.40,   4.21E-007, 
 19.50,   4.30E-008, 
 19.60,   8.17E-008, 
 19.70,   1.37E-007, 
 19.80,   1.76E-007, 
 19.90,   2.20E-007, 
 20.00,   2.28E-007, 
 20.10,   2.55E-007, 
 20.20,   2.32E-007, 
 20.30,   2.08E-007, 
 20.40,   6.16E-008, 
 20.50,   1.28E-008, 
 20.60,   6.76E-009, 
 20.70,   6.07E-009, 
 20.80,   6.29E-009, 
 20.90,   6.75E-009, 
 21.00,   7.14E-009, 
 21.10,   8.02E-009, 
 21.20,   8.72E-009, 
 21.30,   9.65E-009, 
 21.40,   1.02E-008, 
 21.50,   2.25E-008, 
 21.60,   1.38E-007, 
 21.70,   2.08E-007, 
 21.80,   2.70E-007, 
 21.90,   3.14E-007, 
 22.00,   3.14E-007, 
 22.10,   3.39E-007, 
 22.20,   3.11E-007, 
 22.30,   2.57E-007, 
 22.40,   5.14E-008, 
 22.50,   1.31E-008, 
 22.60,   7.54E-009, 
 22.70,   5.79E-009, 
 22.80,   5.13E-009, 
 22.90,   3.70E-009, 
 23.00,   2.48E-009, 
 23.10,   1.82E-009, 
 23.20,   1.59E-009, 
 23.30,   1.37E-009, 
 23.40,   1.22E-009, 
 23.50,   1.67E-009, 
 23.60,   5.56E-009, 
 23.70,   1.24E-008, 
 23.80,   1.87E-008, 
 23.90,   2.43E-008, 
 24.00,   2.61E-008, 
 24.10,   2.82E-008, 
 24.20,   2.78E-008, 
 24.30,   2.67E-008, 
 24.40,   1.49E-008, 
 24.50,   9.08E-009, 
 24.60,   2.34E-008, 
 24.70,   5.62E-008, 
 24.80,   8.12E-008, 
 24.90,   1.02E-007, 
 25.00,   1.06E-007, 
 25.10,   1.20E-007, 
 25.20,   1.16E-007, 
 25.30,   1.13E-007, 
 25.40,   5.64E-008, 
 25.50,   5.79E-008, 
 25.60,   2.76E-007, 
 25.70,   4.17E-007, 
 25.80,   5.29E-007, 
 25.90,   6.30E-007, 
 26.00,   6.18E-007, 
 26.10,   6.65E-007, 
 26.20,   6.19E-007, 
 26.30,   5.85E-007, 
 26.40,   1.83E-007, 
 26.50,   5.08E-008, 
 26.60,   1.86E-007, 
 26.70,   3.04E-007, 
 26.80,   3.95E-007, 
 26.90,   4.79E-007, 
 27.00,   4.95E-007, 
 27.10,   5.70E-007, 
 27.20,   6.46E-007, 
 27.30,   8.28E-007, 
 27.40,   1.00E-006, 
 27.50,   3.18E-006, 
 27.60,   1.19E-005, 
 27.70,   1.66E-005, 
 27.80,   2.14E-005, 
 27.90,   2.54E-005, 
 28.00,   2.43E-005, 
 28.10,   2.56E-005, 
 28.20,   2.37E-005, 
 28.30,   2.10E-005, 
 28.40,   3.20E-006, 
 28.50,   3.31E-007, 
 28.60,   1.02E-006, 
 28.70,   1.52E-006, 
 28.80,   2.01E-006, 
 28.90,   2.40E-006, 
 29.00,   2.36E-006, 
 29.10,   2.49E-006, 
 29.20,   2.35E-006, 
 29.30,   2.10E-006, 
 29.40,   4.67E-007, 
 29.50,   4.01E-007, 
 29.60,   1.65E-006, 
 29.70,   2.35E-006, 
 29.80,   3.20E-006, 
 29.90,   3.80E-006, 
 30.00,   3.66E-006, 
 30.10,   3.81E-006, 
 30.20,   3.60E-006, 
 30.30,   3.18E-006, 
 30.40,   5.48E-007, 
 30.50,   3.97E-008, 
 30.60,   3.71E-008, 
 30.70,   6.45E-008, 
 30.80,   9.10E-008, 
 30.90,   1.21E-007, 
 31.00,   1.29E-007, 
 31.10,   1.47E-007, 
 31.20,   1.75E-007, 
 31.30,   2.25E-007, 
 31.40,   2.79E-007, 
 31.50,   9.48E-007, 
 31.60,   3.67E-006, 
 31.70,   4.97E-006, 
 31.80,   6.59E-006, 
 31.90,   7.43E-006, 
 32.00,   7.16E-006, 
 32.10,   7.29E-006, 
 32.20,   6.93E-006, 
 32.30,   5.43E-006, 
 32.40,   5.59E-007, 
 32.50,   3.87E-008, 
 32.60,   2.13E-008, 
 32.70,   2.38E-008, 
 32.80,   2.99E-008, 
 32.90,   3.81E-008, 
 33.00,   3.93E-008, 
 33.10,   4.06E-008, 
 33.20,   3.92E-008, 
 33.30,   3.69E-008, 
 33.40,   1.86E-008, 
 33.50,   7.93E-009, 
 33.60,   1.05E-008, 
 33.70,   1.85E-008, 
 33.80,   2.67E-008, 
 33.90,   3.53E-008, 
 34.00,   3.65E-008, 
 34.10,   3.76E-008, 
 34.20,   3.63E-008, 
 34.30,   3.44E-008, 
 34.40,   1.72E-008, 
 34.50,   5.88E-009, 
 34.60,   2.92E-009, 
 34.70,   2.24E-009, 
 34.80,   1.98E-009, 
 34.90,   2.07E-009, 
 35.00,   2.09E-009, 
 35.10,   2.34E-009, 
 35.20,   2.09E-009, 
 35.30,   1.96E-009, 
 35.40,   1.35E-009, 
 35.50,   1.29E-009, 
 35.60,   3.92E-009, 
 35.70,   8.48E-009, 
 35.80,   1.29E-008, 
 35.90,   1.75E-008, 
 36.00,   1.88E-008, 
 36.10,   1.96E-008, 
 36.20,   1.90E-008, 
 36.30,   1.79E-008, 
 36.40,   1.00E-008, 
 36.50,   4.86E-009, 
 36.60,   6.21E-009, 
 36.70,   1.26E-008, 
 36.80,   1.93E-008, 
 36.90,   2.68E-008, 
 37.00,   2.96E-008, 
 37.10,   3.10E-008, 
 37.20,   3.04E-008, 
 37.30,   2.91E-008, 
 37.40,   1.72E-008, 
 37.50,   7.92E-009, 
 37.60,   1.12E-008, 
 37.70,   2.50E-008, 
 37.80,   3.89E-008, 
 37.90,   5.27E-008, 
 38.00,   5.70E-008, 
 38.10,   5.96E-008, 
 38.20,   5.79E-008, 
 38.30,   5.58E-008, 
 38.40,   3.24E-008, 
 38.50,   1.66E-008, 
 38.60,   3.64E-008, 
