Nov 19, 2020  04:33:55 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.24E-004 
Filament Current, 1.00, mAmps


  1.00,   5.81E-008, 
  1.10,   1.09E-007, 
  1.20,   1.18E-006, 
  1.30,   1.82E-006, 
  1.40,   1.38E-006, 
  1.50,   4.06E-006, 
  1.60,   4.83E-006, 
  1.70,   5.46E-006, 
  1.80,   6.24E-006, 
  1.90,   6.83E-006, 
  2.00,   7.07E-006, 
  2.10,   6.88E-006, 
  2.20,   6.69E-006, 
  2.30,   5.38E-006, 
  2.40,   1.58E-006, 
  2.50,   9.46E-008, 
  2.60,   2.12E-008, 
  2.70,   1.19E-008, 
  2.80,   1.07E-008, 
  2.90,   1.19E-008, 
  3.00,   1.32E-008, 
  3.10,   1.30E-008, 
  3.20,   1.32E-008, 
  3.30,   1.17E-008, 
  3.40,   6.76E-009, 
  3.50,   2.67E-009, 
  3.60,   8.89E-010, 
  3.70,   7.61E-011, 
  3.80,  -2.56E-010, 
  3.90,  -3.73E-010, 
  4.00,  -5.11E-010, 
  4.10,  -4.17E-010, 
  4.20,  -4.69E-010, 
  4.30,  -3.37E-010, 
  4.40,  -4.84E-010, 
  4.50,  -5.25E-010, 
  4.60,  -4.69E-010, 
  4.70,  -5.16E-010, 
  4.80,  -4.84E-010, 
  4.90,  -5.02E-010, 
  5.00,  -5.50E-010, 
  5.10,  -5.19E-010, 
  5.20,  -5.83E-010, 
  5.30,  -4.43E-010, 
  5.40,  -4.77E-010, 
  5.50,  -3.91E-010, 
  5.60,  -3.78E-010, 
  5.70,  -3.45E-010, 
  5.80,  -2.80E-010, 
  5.90,  -3.97E-010, 
  6.00,  -3.03E-010, 
  6.10,  -3.21E-010, 
  6.20,  -4.43E-010, 
  6.30,  -3.54E-010, 
  6.40,  -2.66E-010, 
  6.50,  -2.05E-010, 
  6.60,  -3.00E-010, 
  6.70,  -4.00E-010, 
  6.80,  -3.78E-010, 
  6.90,  -3.75E-010, 
  7.00,  -3.50E-010, 
  7.10,  -3.20E-010, 
  7.20,  -4.03E-010, 
  7.30,  -2.84E-010, 
  7.40,  -3.06E-010, 
  7.50,  -2.33E-010, 
  7.60,  -1.20E-010, 
  7.70,  -2.18E-011, 
  7.80,   3.00E-010, 
  7.90,   5.11E-010, 
  8.00,   6.61E-010, 
  8.10,   6.84E-010, 
  8.20,   5.83E-010, 
  8.30,   6.51E-010, 
  8.40,   3.29E-010, 
  8.50,   1.71E-010, 
  8.60,   1.67E-010, 
  8.70,   3.48E-011, 
  8.80,  -1.37E-010, 
  8.90,  -2.52E-010, 
  9.00,  -2.57E-010, 
  9.10,  -2.22E-010, 
  9.20,  -2.14E-010, 
  9.30,  -1.30E-010, 
  9.40,  -1.20E-010, 
  9.50,  -1.50E-010, 
  9.60,  -6.96E-011, 
  9.70,  -1.33E-010, 
  9.80,  -3.88E-011, 
  9.90,   2.75E-011, 
 10.00,  -3.56E-011, 
 10.10,   1.70E-011, 
 10.20,  -8.09E-013, 
 10.30,   1.78E-010, 
 10.40,   1.63E-010, 
 10.50,   3.33E-010, 
 10.60,   7.09E-010, 
 10.70,   1.09E-009, 
 10.80,   1.79E-009, 
 10.90,   2.68E-009, 
 11.00,   4.19E-009, 
 11.10,   7.64E-009, 
 11.20,   1.51E-008, 
 11.30,   3.69E-008, 
 11.40,   1.47E-007, 
 11.50,   6.98E-007, 
 11.60,   1.00E-006, 
 11.70,   1.18E-006, 
 11.80,   1.53E-006, 
 11.90,   1.67E-006, 
 12.00,   1.76E-006, 
 12.10,   1.69E-006, 
 12.20,   1.40E-006, 
 12.30,   6.78E-007, 
 12.40,   5.28E-008, 
 12.50,   2.93E-008, 
 12.60,   4.49E-008, 
 12.70,   5.42E-008, 
 12.80,   7.27E-008, 
 12.90,   8.55E-008, 
 13.00,   9.11E-008, 
 13.10,   9.47E-008, 
 13.20,   8.33E-008, 
 13.30,   5.94E-008, 
 13.40,   2.60E-008, 
 13.50,   7.88E-008, 
 13.60,   1.70E-007, 
 13.70,   1.98E-007, 
 13.80,   2.59E-007, 
 13.90,   2.87E-007, 
 14.00,   3.03E-007, 
 14.10,   3.06E-007, 
 14.20,   2.71E-007, 
 14.30,   1.83E-007, 
 14.40,   5.27E-008, 
 14.50,   1.98E-007, 
 14.60,   4.20E-007, 
 14.70,   4.80E-007, 
 14.80,   6.28E-007, 
 14.90,   7.07E-007, 
 15.00,   7.48E-007, 
 15.10,   7.85E-007, 
 15.20,   7.29E-007, 
 15.30,   5.86E-007, 
 15.40,   5.66E-007, 
 15.50,   2.52E-006, 
 15.60,   3.94E-006, 
 15.70,   4.59E-006, 
 15.80,   5.78E-006, 
 15.90,   6.05E-006, 
 16.00,   6.45E-006, 
 16.10,   6.18E-006, 
 16.20,   5.61E-006, 
 16.30,   2.78E-006, 
 16.40,   7.63E-007, 
 16.50,   3.43E-006, 
 16.60,   6.02E-006, 
 16.70,   7.05E-006, 
 16.80,   8.91E-006, 
 16.90,   9.40E-006, 
 17.00,   1.02E-005, 
 17.10,   9.87E-006, 
 17.20,   9.28E-006, 
 17.30,   5.38E-006, 
 17.40,   2.86E-006, 
 17.50,   1.21E-005, 
 17.60,   2.68E-005, 
 17.70,   3.23E-005, 
 17.80,   4.15E-005, 
 17.90,   4.47E-005, 
 18.00,   4.80E-005, 
 18.10,   4.82E-005, 
 18.20,   4.49E-005, 
 18.30,   2.40E-005, 
 18.40,   7.88E-007, 
 18.50,   2.59E-007, 
 18.60,   4.07E-007, 
 18.70,   4.89E-007, 
 18.80,   6.31E-007, 
 18.90,   6.83E-007, 
 19.00,   7.45E-007, 
 19.10,   7.40E-007, 
 19.20,   6.80E-007, 
 19.30,   3.95E-007, 
 19.40,   4.17E-008, 
 19.50,   3.00E-008, 
 19.60,   6.45E-008, 
 19.70,   8.42E-008, 
 19.80,   1.08E-007, 
 19.90,   1.15E-007, 
 20.00,   1.23E-007, 
 20.10,   1.24E-007, 
 20.20,   1.16E-007, 
 20.30,   7.37E-008, 
 20.40,   1.55E-008, 
 20.50,   5.93E-009, 
 20.60,   4.22E-009, 
 20.70,   3.89E-009, 
 20.80,   4.25E-009, 
 20.90,   4.43E-009, 
 21.00,   4.88E-009, 
 21.10,   6.55E-009, 
 21.20,   9.34E-009, 
 21.30,   1.51E-008, 
 21.40,   4.53E-008, 
 21.50,   2.83E-007, 
 21.60,   4.86E-007, 
 21.70,   5.94E-007, 
 21.80,   7.37E-007, 
 21.90,   7.15E-007, 
 22.00,   7.94E-007, 
 22.10,   7.32E-007, 
 22.20,   7.23E-007, 
 22.30,   2.69E-007, 
 22.40,   2.85E-008, 
 22.50,   1.47E-008, 
 22.60,   1.24E-008, 
 22.70,   1.17E-008, 
 22.80,   9.52E-009, 
 22.90,   5.64E-009, 
 23.00,   4.12E-009, 
 23.10,   3.73E-009, 
 23.20,   3.53E-009, 
 23.30,   3.07E-009, 
 23.40,   2.11E-009, 
 23.50,   3.57E-009, 
 23.60,   9.41E-009, 
 23.70,   1.50E-008, 
 23.80,   2.02E-008, 
 23.90,   2.26E-008, 
 24.00,   2.39E-008, 
 24.10,   2.48E-008, 
 24.20,   2.45E-008, 
 24.30,   1.89E-008, 
 24.40,   9.27E-009, 
 24.50,   1.47E-008, 
 24.60,   4.34E-008, 
 24.70,   6.52E-008, 
 24.80,   8.51E-008, 
 24.90,   9.08E-008, 
 25.00,   9.86E-008, 
 25.10,   1.05E-007, 
 25.20,   1.04E-007, 
 25.30,   7.64E-008, 
 25.40,   4.17E-008, 
 25.50,   1.74E-007, 
 25.60,   3.42E-007, 
 25.70,   4.23E-007, 
 25.80,   5.14E-007, 
 25.90,   5.21E-007, 
 26.00,   5.47E-007, 
 26.10,   5.46E-007, 
 26.20,   5.32E-007, 
 26.30,   3.29E-007, 
 26.40,   5.14E-008, 
 26.50,   9.93E-008, 
 26.60,   2.22E-007, 
 26.70,   2.84E-007, 
 26.80,   3.56E-007, 
 26.90,   3.81E-007, 
 27.00,   4.19E-007, 
 27.10,   4.68E-007, 
 27.20,   5.57E-007, 
 27.30,   6.44E-007, 
 27.40,   1.25E-006, 
 27.50,   5.31E-006, 
 27.60,   8.81E-006, 
 27.70,   1.08E-005, 
 27.80,   1.31E-005, 
 27.90,   1.29E-005, 
 28.00,   1.36E-005, 
 28.10,   1.30E-005, 
 28.20,   1.29E-005, 
 28.30,   5.43E-006, 
 28.40,   2.74E-007, 
 28.50,   4.73E-007, 
 28.60,   8.80E-007, 
 28.70,   1.14E-006, 
 28.80,   1.41E-006, 
 28.90,   1.42E-006, 
 29.00,   1.49E-006, 
 29.10,   1.46E-006, 
 29.20,   1.45E-006, 
 29.30,   6.90E-007, 
 29.40,   1.12E-007, 
 29.50,   3.78E-007, 
 29.60,   7.06E-007, 
 29.70,   9.18E-007, 
 29.80,   1.14E-006, 
 29.90,   1.14E-006, 
 30.00,   1.18E-006, 
 30.10,   1.16E-006, 
 30.20,   1.16E-006, 
 30.30,   5.90E-007, 
 30.40,   4.75E-008, 
 30.50,   2.07E-008, 
 30.60,   3.64E-008, 
 30.70,   5.11E-008, 
 30.80,   6.90E-008, 
 30.90,   7.75E-008, 
 31.00,   8.21E-008, 
 31.10,   9.11E-008, 
 31.20,   1.05E-007, 
 31.30,   1.06E-007, 
 31.40,   1.70E-007, 
 31.50,   7.64E-007, 
 31.60,   1.25E-006, 
 31.70,   1.58E-006, 
 31.80,   1.91E-006, 
 31.90,   1.89E-006, 
 32.00,   1.96E-006, 
 32.10,   1.88E-006, 
 32.20,   1.87E-006, 
 32.30,   6.35E-007, 
 32.40,   3.88E-008, 
 32.50,   1.16E-008, 
 32.60,   7.79E-009, 
 32.70,   7.26E-009, 
 32.80,   8.29E-009, 
 32.90,   9.32E-009, 
 33.00,   9.36E-009, 
 33.10,   9.61E-009, 
 33.20,   9.57E-009, 
 33.30,   7.85E-009, 
 33.40,   3.99E-009, 
 33.50,   3.13E-009, 
 33.60,   5.02E-009, 
 33.70,   7.25E-009, 
 33.80,   9.83E-009, 
 33.90,   1.13E-008, 
 34.00,   1.21E-008, 
 34.10,   1.23E-008, 
 34.20,   1.21E-008, 
 34.30,   9.48E-009, 
 34.40,   4.01E-009, 
 34.50,   1.88E-009, 
 34.60,   1.32E-009, 
 34.70,   1.14E-009, 
 34.80,   1.28E-009, 
 34.90,   1.31E-009, 
 35.00,   1.28E-009, 
 35.10,   1.43E-009, 
 35.20,   1.45E-009, 
 35.30,   1.12E-009, 
 35.40,   8.88E-010, 
 35.50,   1.65E-009, 
 35.60,   3.98E-009, 
 35.70,   6.46E-009, 
 35.80,   9.27E-009, 
 35.90,   1.11E-008, 
 36.00,   1.19E-008, 
 36.10,   1.20E-008, 
 36.20,   1.20E-008, 
 36.30,   9.02E-009, 
 36.40,   4.21E-009, 
 36.50,   3.35E-009, 
 36.60,   6.79E-009, 
 36.70,   1.12E-008, 
 36.80,   1.58E-008, 
 36.90,   1.90E-008, 
 37.00,   2.03E-008, 
 37.10,   2.12E-008, 
 37.20,   2.10E-008, 
 37.30,   1.70E-008, 
 37.40,   7.91E-009, 
 37.50,   6.12E-009, 
 37.60,   1.27E-008, 
 37.70,   2.11E-008, 
 37.80,   2.97E-008, 
 37.90,   3.50E-008, 
 38.00,   3.64E-008, 
 38.10,   3.76E-008, 
 38.20,   3.78E-008, 
 38.30,   3.14E-008, 
 38.40,   1.52E-008, 
 38.50,   1.66E-008, 
