Nov 19, 2020  12:42:02 PM
Residual Gas Analyzer Software 
Software Version, 3.218.004

Analog Scan Setup:

Data Points in Scan, 641 
Units, Torr 
Noise Floor, 2 
CEM Status, OFF 
Points Per AMU, 10
Scan Start Mass, 1, amu 
Scan Stop Mass, 65, amu
Focus Voltage, 90, Volts 
Ion Energy, HIGH 
Electron Energy, 70, eV 
CEM Voltage, 1000, Volts
CEM Gain, 1.00E+006 
Sensitivity Factor, 1.24E-004 
Filament Current, 1.00, mAmps


  1.00,   3.77E-008, 
  1.10,   4.83E-008, 
  1.20,   1.23E-006, 
  1.30,   2.84E-006, 
  1.40,   1.85E-006, 
  1.50,   2.45E-006, 
  1.60,   2.80E-006, 
  1.70,   3.06E-006, 
  1.80,   3.48E-006, 
  1.90,   3.69E-006, 
  2.00,   3.42E-006, 
  2.10,   3.39E-006, 
  2.20,   3.10E-006, 
  2.30,   2.20E-006, 
  2.40,   1.04E-006, 
  2.50,   1.03E-007, 
  2.60,   1.54E-008, 
  2.70,   6.02E-009, 
  2.80,   3.65E-009, 
  2.90,   3.02E-009, 
  3.00,   2.84E-009, 
  3.10,   2.75E-009, 
  3.20,   2.48E-009, 
  3.30,   2.08E-009, 
  3.40,   1.51E-009, 
  3.50,   7.45E-010, 
  3.60,   2.26E-010, 
  3.70,   5.34E-011, 
  3.80,  -1.72E-010, 
  3.90,  -2.90E-010, 
  4.00,  -2.27E-010, 
  4.10,  -1.77E-010, 
  4.20,  -2.80E-010, 
  4.30,  -3.95E-010, 
  4.40,  -3.71E-010, 
  4.50,  -2.63E-010, 
  4.60,  -1.77E-010, 
  4.70,  -1.91E-010, 
  4.80,  -3.24E-010, 
  4.90,  -3.50E-010, 
  5.00,  -4.17E-010, 
  5.10,  -3.79E-010, 
  5.20,  -3.14E-010, 
  5.30,  -2.27E-010, 
  5.40,  -2.13E-010, 
  5.50,  -1.83E-010, 
  5.60,  -2.13E-010, 
  5.70,  -8.17E-011, 
  5.80,  -2.14E-010, 
  5.90,  -2.23E-010, 
  6.00,  -1.93E-010, 
  6.10,  -2.70E-010, 
  6.20,  -3.21E-010, 
  6.30,  -3.02E-010, 
  6.40,  -3.40E-010, 
  6.50,  -3.30E-010, 
  6.60,  -3.16E-010, 
  6.70,  -3.23E-010, 
  6.80,  -2.78E-010, 
  6.90,  -2.18E-010, 
  7.00,  -2.69E-010, 
  7.10,  -3.94E-010, 
  7.20,  -3.28E-010, 
  7.30,  -2.56E-010, 
  7.40,  -3.31E-010, 
  7.50,  -3.77E-010, 
  7.60,  -3.70E-010, 
  7.70,  -3.21E-010, 
  7.80,  -2.81E-010, 
  7.90,  -3.16E-010, 
  8.00,  -1.16E-010, 
  8.10,   3.88E-011, 
  8.20,   6.07E-011, 
  8.30,   4.53E-011, 
  8.40,   4.45E-011, 
  8.50,  -9.87E-011, 
  8.60,  -2.04E-010, 
  8.70,  -1.74E-010, 
  8.80,  -1.74E-010, 
  8.90,  -1.39E-010, 
  9.00,  -8.09E-011, 
  9.10,  -6.31E-011, 
  9.20,  -1.31E-010, 
  9.30,  -2.67E-010, 
  9.40,  -2.82E-010, 
  9.50,  -2.35E-010, 
  9.60,  -3.54E-010, 
  9.70,  -2.22E-010, 
  9.80,  -1.72E-010, 
  9.90,  -1.98E-010, 
 10.00,  -1.00E-010, 
 10.10,  -1.60E-010, 
 10.20,  -2.97E-010, 
 10.30,  -1.12E-010, 
 10.40,  -2.21E-010, 
 10.50,  -3.04E-010, 
 10.60,  -2.44E-010, 
 10.70,  -2.20E-010, 
 10.80,  -2.18E-010, 
 10.90,   5.02E-011, 
 11.00,   1.20E-010, 
 11.10,   1.21E-010, 
 11.20,   2.86E-010, 
 11.30,   1.04E-009, 
 11.40,   3.00E-009, 
 11.50,   1.70E-008, 
 11.60,   7.57E-008, 
 11.70,   1.07E-007, 
 11.80,   1.32E-007, 
 11.90,   1.78E-007, 
 12.00,   1.91E-007, 
 12.10,   1.92E-007, 
 12.20,   1.58E-007, 
 12.30,   1.13E-007, 
 12.40,   3.39E-008, 
 12.50,   9.74E-009, 
 12.60,   8.16E-009, 
 12.70,   9.60E-009, 
 12.80,   1.11E-008, 
 12.90,   1.39E-008, 
 13.00,   1.67E-008, 
 13.10,   1.80E-008, 
 13.20,   1.71E-008, 
 13.30,   1.47E-008, 
 13.40,   1.05E-008, 
 13.50,   1.34E-008, 
 13.60,   5.25E-008, 
 13.70,   8.75E-008, 
 13.80,   1.00E-007, 
 13.90,   1.28E-007, 
 14.00,   1.42E-007, 
 14.10,   1.47E-007, 
 14.20,   1.25E-007, 
 14.30,   9.66E-008, 
 14.40,   3.44E-008, 
 14.50,   1.46E-008, 
 14.60,   3.62E-008, 
 14.70,   6.43E-008, 
 14.80,   7.30E-008, 
 14.90,   8.97E-008, 
 15.00,   1.05E-007, 
 15.10,   1.10E-007, 
 15.20,   1.01E-007, 
 15.30,   8.68E-008, 
 15.40,   5.31E-008, 
 15.50,   1.41E-007, 
 15.60,   4.65E-007, 
 15.70,   5.76E-007, 
 15.80,   6.19E-007, 
 15.90,   7.58E-007, 
 16.00,   8.04E-007, 
 16.10,   8.41E-007, 
 16.20,   6.93E-007, 
 16.30,   5.44E-007, 
 16.40,   2.15E-007, 
 16.50,   8.36E-007, 
 16.60,   2.90E-006, 
 16.70,   3.66E-006, 
 16.80,   3.84E-006, 
 16.90,   4.58E-006, 
 17.00,   4.70E-006, 
 17.10,   4.97E-006, 
 17.20,   4.12E-006, 
 17.30,   3.17E-006, 
 17.40,   8.56E-007, 
 17.50,   2.85E-006, 
 17.60,   1.10E-005, 
 17.70,   1.49E-005, 
 17.80,   1.57E-005, 
 17.90,   1.85E-005, 
 18.00,   1.88E-005, 
 18.10,   2.03E-005, 
 18.20,   1.66E-005, 
 18.30,   1.27E-005, 
 18.40,   1.10E-006, 
 18.50,   7.15E-008, 
 18.60,   9.88E-008, 
 18.70,   1.56E-007, 
 18.80,   1.74E-007, 
 18.90,   2.03E-007, 
 19.00,   2.14E-007, 
 19.10,   2.27E-007, 
 19.20,   2.00E-007, 
 19.30,   1.63E-007, 
 19.40,   4.78E-008, 
 19.50,   1.34E-008, 
 19.60,   1.95E-008, 
 19.70,   3.34E-008, 
 19.80,   3.94E-008, 
 19.90,   4.45E-008, 
 20.00,   4.65E-008, 
 20.10,   4.88E-008, 
 20.20,   4.45E-008, 
 20.30,   3.73E-008, 
 20.40,   1.62E-008, 
 20.50,   5.78E-009, 
 20.60,   2.84E-009, 
 20.70,   1.78E-009, 
 20.80,   1.28E-009, 
 20.90,   1.06E-009, 
 21.00,   9.26E-010, 
 21.10,   9.77E-010, 
 21.20,   1.09E-009, 
 21.30,   1.18E-009, 
 21.40,   1.26E-009, 
 21.50,   2.54E-009, 
 21.60,   1.11E-008, 
 21.70,   2.21E-008, 
 21.80,   2.80E-008, 
 21.90,   3.21E-008, 
 22.00,   3.17E-008, 
 22.10,   3.31E-008, 
 22.20,   3.04E-008, 
 22.30,   2.52E-008, 
 22.40,   1.04E-008, 
 22.50,   4.07E-009, 
 22.60,   2.10E-009, 
 22.70,   1.27E-009, 
 22.80,   8.53E-010, 
 22.90,   4.43E-010, 
 23.00,   2.82E-010, 
 23.10,   1.73E-010, 
 23.20,   4.21E-011, 
 23.30,   1.18E-010, 
 23.40,  -4.53E-011, 
 23.50,  -1.59E-010, 
 23.60,   6.01E-010, 
 23.70,   1.89E-009, 
 23.80,   2.94E-009, 
 23.90,   3.91E-009, 
 24.00,   4.18E-009, 
 24.10,   4.27E-009, 
 24.20,   4.24E-009, 
 24.30,   3.97E-009, 
 24.40,   2.34E-009, 
 24.50,   1.54E-009, 
 24.60,   3.30E-009, 
 24.70,   7.33E-009, 
 24.80,   1.10E-008, 
 24.90,   1.38E-008, 
 25.00,   1.46E-008, 
 25.10,   1.56E-008, 
 25.20,   1.57E-008, 
 25.30,   1.47E-008, 
 25.40,   9.78E-009, 
 25.50,   8.81E-009, 
 25.60,   2.86E-008, 
 25.70,   5.63E-008, 
 25.80,   7.21E-008, 
 25.90,   8.02E-008, 
 26.00,   7.84E-008, 
 26.10,   7.81E-008, 
 26.20,   7.34E-008, 
 26.30,   6.47E-008, 
 26.40,   2.90E-008, 
 26.50,   1.46E-008, 
 26.60,   3.49E-008, 
 26.70,   6.77E-008, 
 26.80,   8.69E-008, 
 26.90,   1.01E-007, 
 27.00,   1.03E-007, 
 27.10,   1.07E-007, 
 27.20,   1.16E-007, 
 27.30,   1.42E-007, 
 27.40,   1.81E-007, 
 27.50,   6.49E-007, 
 27.60,   2.17E-006, 
 27.70,   2.95E-006, 
 27.80,   3.42E-006, 
 27.90,   3.83E-006, 
 28.00,   3.43E-006, 
 28.10,   3.48E-006, 
 28.20,   2.98E-006, 
 28.30,   2.30E-006, 
 28.40,   2.70E-007, 
 28.50,   4.90E-008, 
 28.60,   1.52E-007, 
 28.70,   2.34E-007, 
 28.80,   2.82E-007, 
 28.90,   3.22E-007, 
 29.00,   3.05E-007, 
 29.10,   3.04E-007, 
 29.20,   2.75E-007, 
 29.30,   2.34E-007, 
 29.40,   6.17E-008, 
 29.50,   3.73E-008, 
 29.60,   1.50E-007, 
 29.70,   2.28E-007, 
 29.80,   2.68E-007, 
 29.90,   3.11E-007, 
 30.00,   2.91E-007, 
 30.10,   2.91E-007, 
 30.20,   2.61E-007, 
 30.30,   2.20E-007, 
 30.40,   5.34E-008, 
 30.50,   1.12E-008, 
 30.60,   7.12E-009, 
 30.70,   8.55E-009, 
 30.80,   1.07E-008, 
 30.90,   1.31E-008, 
 31.00,   1.48E-008, 
 31.10,   1.56E-008, 
 31.20,   1.78E-008, 
 31.30,   2.33E-008, 
 31.40,   3.31E-008, 
 31.50,   1.16E-007, 
 31.60,   4.66E-007, 
 31.70,   6.25E-007, 
 31.80,   7.44E-007, 
 31.90,   8.50E-007, 
 32.00,   7.65E-007, 
 32.10,   7.73E-007, 
 32.20,   6.63E-007, 
 32.30,   4.76E-007, 
 32.40,   6.18E-008, 
 32.50,   1.12E-008, 
 32.60,   4.98E-009, 
 32.70,   3.40E-009, 
 32.80,   2.77E-009, 
 32.90,   2.58E-009, 
 33.00,   2.58E-009, 
 33.10,   2.41E-009, 
 33.20,   2.12E-009, 
 33.30,   1.90E-009, 
 33.40,   1.25E-009, 
 33.50,   7.27E-010, 
 33.60,   1.07E-009, 
 33.70,   1.89E-009, 
 33.80,   2.63E-009, 
 33.90,   3.27E-009, 
 34.00,   3.56E-009, 
 34.10,   3.67E-009, 
 34.20,   3.56E-009, 
 34.30,   3.28E-009, 
 34.40,   1.95E-009, 
 34.50,   9.09E-010, 
 34.60,   5.89E-010, 
 34.70,   5.91E-010, 
 34.80,   5.46E-010, 
 34.90,   5.60E-010, 
 35.00,   4.47E-010, 
 35.10,   3.75E-010, 
 35.20,   4.13E-010, 
 35.30,   4.55E-010, 
 35.40,   2.01E-010, 
 35.50,   2.05E-010, 
 35.60,   1.21E-009, 
 35.70,   2.70E-009, 
 35.80,   3.95E-009, 
 35.90,   5.07E-009, 
 36.00,   5.59E-009, 
 36.10,   5.69E-009, 
 36.20,   5.58E-009, 
 36.30,   4.94E-009, 
 36.40,   2.82E-009, 
 36.50,   1.45E-009, 
 36.60,   1.48E-009, 
 36.70,   2.76E-009, 
 36.80,   4.01E-009, 
 36.90,   5.32E-009, 
 37.00,   6.13E-009, 
 37.10,   6.34E-009, 
 37.20,   6.41E-009, 
 37.30,   5.87E-009, 
 37.40,   3.74E-009, 
 37.50,   2.00E-009, 
 37.60,   2.56E-009, 
 37.70,   5.25E-009, 
 37.80,   7.91E-009, 
 37.90,   1.03E-008, 
 38.00,   1.17E-008, 
 38.10,   1.22E-008, 
 38.20,   1.22E-008, 
 38.30,   1.13E-008, 
 38.40,   7.74E-009, 
