#date: 26.11.2020	time: 20:03:06
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
1.44800E+1	3.33560E-7	1.07721E-7	9.36700E-6	3.56101E-2	3.12446E-12	1.39043E+2
1.61540E+1	-2.63013E-7	3.57352E-7	3.10741E-5	-8.46405E-3	-8.17287E-12	1.34756E+1
1.68730E+1	-6.92852E-7	1.00035E-6	8.69874E-5	-7.96498E-3	-6.02694E-11	1.48975E+1
1.75930E+1	-2.83462E-7	5.10507E-7	4.43920E-5	-6.38543E-3	-1.25834E-11	1.93976E+1
1.83040E+1	6.13224E-8	9.84158E-7	8.55789E-5	7.16560E-4	5.24791E-12	3.96312E+1
1.90240E+1	-6.77258E-7	6.06832E-7	5.27680E-5	-1.28346E-2	-3.57376E-11	1.02383E+0
1.97430E+1	1.52841E-3	1.27658E-4	1.11007E-2	1.37686E-1	1.69664E-5	4.29857E+2
2.04630E+1	2.47817E-3	1.99396E-4	1.73388E-2	1.42926E-1	4.29685E-5	4.44786E+2
2.11830E+1	2.55862E-3	2.09869E-4	1.82495E-2	1.40202E-1	4.66935E-5	4.37026E+2
2.18930E+1	2.58923E-3	2.05289E-4	1.78512E-2	1.45045E-1	4.62209E-5	4.50825E+2
2.26130E+1	2.50009E-3	2.04806E-4	1.78092E-2	1.40382E-1	4.45245E-5	4.37538E+2
2.33320E+1	2.54220E-3	2.07751E-4	1.80653E-2	1.40722E-1	4.59256E-5	4.38508E+2
2.40520E+1	2.55122E-3	2.05695E-4	1.78865E-2	1.42634E-1	4.56324E-5	4.43953E+2
2.47630E+1	2.52576E-3	2.09710E-4	1.82356E-2	1.38507E-1	4.60589E-5	4.32196E+2
2.54830E+1	2.57660E-3	2.07731E-4	1.80635E-2	1.42641E-1	4.65425E-5	4.43975E+2
2.62030E+1	2.55746E-3	2.04705E-4	1.78005E-2	1.43674E-1	4.55239E-5	4.46916E+2
2.69230E+1	2.58045E-3	2.05758E-4	1.78920E-2	1.44224E-1	4.61693E-5	4.48484E+2
2.76430E+1	2.50024E-3	2.07782E-4	1.80680E-2	1.38380E-1	4.51742E-5	4.31834E+2
2.83620E+1	2.58529E-3	2.07608E-4	1.80529E-2	1.43207E-1	4.66718E-5	4.45586E+2
2.90720E+1	2.54263E-3	2.02763E-4	1.76315E-2	1.44209E-1	4.48306E-5	4.48443E+2
2.97910E+1	2.58173E-3	2.05239E-4	1.78468E-2	1.44660E-1	4.60756E-5	4.49727E+2
3.05110E+1	2.58954E-3	2.04875E-4	1.78152E-2	1.45355E-1	4.61331E-5	4.51708E+2
3.12310E+1	2.53703E-3	2.07801E-4	1.80696E-2	1.40403E-1	4.58432E-5	4.37598E+2
