#date: 26.11.2020	time: 19:16:50
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
2.42800E+0	1.29709E+0	1.61229E-3	1.34358E-1	9.65404E+0	1.74275E-1	3.05750E+2
4.06800E+0	1.29756E+0	1.61174E-3	1.34311E-1	9.66082E+0	1.74277E-1	3.06064E+2
4.78800E+0	1.29759E+0	1.61278E-3	1.34399E-1	9.65480E+0	1.74394E-1	3.05785E+2
5.50700E+0	1.29758E+0	1.61174E-3	1.34312E-1	9.66096E+0	1.74280E-1	3.06070E+2
6.22700E+0	1.29756E+0	1.61265E-3	1.34388E-1	9.65534E+0	1.74376E-1	3.05810E+2
6.94800E+0	1.29755E+0	1.61288E-3	1.34407E-1	9.65392E+0	1.74400E-1	3.05745E+2
7.65500E+0	1.29745E+0	1.61274E-3	1.34395E-1	9.65400E+0	1.74371E-1	3.05749E+2
8.37700E+0	1.29751E+0	1.61265E-3	1.34388E-1	9.65499E+0	1.74370E-1	3.05794E+2
9.09700E+0	1.29770E+0	1.61227E-3	1.34356E-1	9.65868E+0	1.74354E-1	3.05965E+2
9.81600E+0	1.29748E+0	1.61257E-3	1.34381E-1	9.65528E+0	1.74357E-1	3.05808E+2
1.05360E+1	1.29728E+0	1.61228E-3	1.34357E-1	9.65549E+0	1.74299E-1	3.05817E+2
1.12460E+1	1.29736E+0	1.61257E-3	1.34381E-1	9.65434E+0	1.74340E-1	3.05764E+2
1.19670E+1	1.29749E+0	1.61214E-3	1.34345E-1	9.65785E+0	1.74311E-1	3.05926E+2
1.26880E+1	1.29669E+0	1.61045E-3	1.34204E-1	9.66212E+0	1.74021E-1	3.06124E+2
1.34070E+1	1.29715E+0	1.61159E-3	1.34299E-1	9.65861E+0	1.74206E-1	3.05962E+2
1.41260E+1	1.29719E+0	1.61248E-3	1.34373E-1	9.65362E+0	1.74308E-1	3.05731E+2
1.48470E+1	1.29692E+0	1.61201E-3	1.34334E-1	9.65442E+0	1.74221E-1	3.05768E+2
1.55560E+1	1.29716E+0	1.61264E-3	1.34386E-1	9.65246E+0	1.74320E-1	3.05677E+2
1.62760E+1	1.29667E+0	1.61235E-3	1.34362E-1	9.65059E+0	1.74224E-1	3.05591E+2
1.69950E+1	1.29654E+0	1.61187E-3	1.34323E-1	9.65245E+0	1.74155E-1	3.05677E+2
1.77150E+1	1.29643E+0	1.61255E-3	1.34379E-1	9.64758E+0	1.74213E-1	3.05451E+2
1.84260E+1	1.29598E+0	1.61251E-3	1.34376E-1	9.64444E+0	1.74149E-1	3.05306E+2
1.91470E+1	1.29600E+0	1.61256E-3	1.34380E-1	9.64427E+0	1.74156E-1	3.05298E+2
1.98660E+1	1.29565E+0	1.61236E-3	1.34364E-1	9.64286E+0	1.74088E-1	3.05233E+2
2.05860E+1	1.29545E+0	1.61228E-3	1.34357E-1	9.64188E+0	1.74052E-1	3.05188E+2
2.13060E+1	1.29606E+0	1.61191E-3	1.34326E-1	9.64866E+0	1.74095E-1	3.05501E+2
2.20260E+1	1.29318E+0	1.61058E-3	1.34215E-1	9.63512E+0	1.73565E-1	3.04875E+2
2.27350E+1	8.93644E-1	1.15267E-3	9.60559E-2	9.30337E+0	8.58398E-2	2.89531E+2
2.34550E+1	7.05587E-1	8.91231E-4	7.42693E-2	9.50038E+0	5.24034E-2	2.98643E+2
2.43350E+1	7.02444E-1	8.79295E-4	7.32745E-2	9.58647E+0	5.14713E-2	3.02625E+2
2.50040E+1	7.00322E-1	8.79053E-4	7.32544E-2	9.56013E+0	5.13017E-2	3.01407E+2
2.57260E+1	6.97956E-1	8.77505E-4	7.31254E-2	9.54464E+0	5.10383E-2	3.00690E+2
2.64450E+1	6.97326E-1	8.76839E-4	7.30699E-2	9.54326E+0	5.09535E-2	3.00626E+2
2.71650E+1	6.96882E-1	8.78810E-4	7.32342E-2	9.51581E+0	5.10356E-2	2.99357E+2
2.78850E+1	6.96435E-1	8.78613E-4	7.32178E-2	9.51184E+0	5.09914E-2	2.99173E+2
2.86050E+1	6.96326E-1	8.79016E-4	7.32514E-2	9.50598E+0	5.10068E-2	2.98902E+2
2.93260E+1	6.95846E-1	8.77922E-4	7.31602E-2	9.51126E+0	5.09082E-2	2.99146E+2
3.00250E+1	6.95407E-1	8.77828E-4	7.31524E-2	9.50628E+0	5.08707E-2	2.98916E+2
3.06240E+1	6.95431E-1	8.77155E-4	7.30963E-2	9.51391E+0	5.08334E-2	2.99269E+2
3.12250E+1	6.95344E-1	8.78003E-4	7.31670E-2	9.50352E+0	5.08762E-2	2.98788E+2
3.18250E+1	6.95242E-1	8.76993E-4	7.30827E-2	9.51308E+0	5.08102E-2	2.99230E+2
3.25330E+1	6.95320E-1	8.78818E-4	7.32348E-2	9.49440E+0	5.09217E-2	2.98366E+2
3.32540E+1	6.94999E-1	8.77136E-4	7.30947E-2	9.50820E+0	5.08007E-2	2.99005E+2
3.39750E+1	6.95055E-1	8.78068E-4	7.31724E-2	9.49887E+0	5.08588E-2	2.98573E+2
3.46930E+1	7.00678E-1	8.90816E-4	7.42347E-2	9.43869E+0	5.20146E-2	2.95789E+2
3.54130E+1	9.63488E-1	1.22279E-3	1.01900E-1	9.45528E+0	9.81789E-2	2.96557E+2
3.61340E+1	1.24932E+0	1.57195E-3	1.30996E-1	9.53706E+0	1.63656E-1	3.00339E+2
3.68430E+1	1.28739E+0	1.61300E-3	1.34416E-1	9.57762E+0	1.73046E-1	3.02216E+2
3.77940E+1	1.29044E+0	1.61454E-3	1.34545E-1	9.59115E+0	1.73623E-1	3.02842E+2
3.85140E+1	1.29050E+0	1.61082E-3	1.34235E-1	9.61369E+0	1.73230E-1	3.03884E+2
3.92350E+1	1.29250E+0	1.61148E-3	1.34290E-1	9.62464E+0	1.73570E-1	3.04391E+2
3.99540E+1	1.29427E+0	1.61286E-3	1.34405E-1	9.62962E+0	1.73956E-1	3.04621E+2
4.06740E+1	1.29502E+0	1.61223E-3	1.34353E-1	9.63894E+0	1.73990E-1	3.05052E+2
4.13940E+1	1.29568E+0	1.61219E-3	1.34349E-1	9.64410E+0	1.74074E-1	3.05290E+2
4.21040E+1	1.29606E+0	1.61204E-3	1.34336E-1	9.64787E+0	1.74108E-1	3.05465E+2
4.28230E+1	1.29633E+0	1.61202E-3	1.34335E-1	9.65001E+0	1.74143E-1	3.05564E+2
