#date: 26.11.2020	time: 20:46:11
#time, s	V1, V	V2, V	I, A	R, Ohm	, P,W	T, C
2.76100E+0	1.63588E-1	1.61618E-3	1.40537E-1	1.16402E+0	2.29902E-2	2.92496E+2
4.40700E+0	1.63724E-1	1.61207E-3	1.40180E-1	1.16796E+0	2.29507E-2	2.93486E+2
5.12700E+0	1.63940E-1	1.61484E-3	1.40421E-1	1.16749E+0	2.30205E-2	2.93369E+2
5.84700E+0	1.63792E-1	1.61492E-3	1.40428E-1	1.16637E+0	2.30009E-2	2.93089E+2
6.56700E+0	1.64130E-1	1.61567E-3	1.40493E-1	1.16825E+0	2.30591E-2	2.93560E+2
7.28000E+0	1.63893E-1	1.61344E-3	1.40299E-1	1.16817E+0	2.29940E-2	2.93539E+2
7.96000E+0	1.64101E-1	1.61578E-3	1.40503E-1	1.16795E+0	2.30567E-2	2.93485E+2
8.56700E+0	1.63780E-1	1.61486E-3	1.40423E-1	1.16634E+0	2.29984E-2	2.93079E+2
9.16600E+0	1.63589E-1	1.61620E-3	1.40539E-1	1.16401E+0	2.29906E-2	2.92495E+2
9.86700E+0	1.63750E-1	1.61395E-3	1.40344E-1	1.16678E+0	2.29813E-2	2.93191E+2
1.05860E+1	1.63960E-1	1.61474E-3	1.40412E-1	1.16770E+0	2.30219E-2	2.93422E+2
1.13060E+1	1.63781E-1	1.61570E-3	1.40495E-1	1.16574E+0	2.30104E-2	2.92928E+2
1.20270E+1	1.63401E-1	1.61285E-3	1.40247E-1	1.16509E+0	2.29166E-2	2.92766E+2
1.27460E+1	1.63410E-1	1.61062E-3	1.40054E-1	1.16676E+0	2.28863E-2	2.93186E+2
1.34660E+1	2.27601E-1	2.26753E-3	1.97176E-1	1.15430E+0	4.48776E-2	2.90054E+2
1.41860E+1	3.20399E-1	3.21084E-3	2.79203E-1	1.14755E+0	8.94566E-2	2.88356E+2
1.48660E+1	3.17530E-1	3.12124E-3	2.71412E-1	1.16992E+0	8.61817E-2	2.93980E+2
1.54660E+1	3.17587E-1	3.12088E-3	2.71381E-1	1.17026E+0	8.61870E-2	2.94066E+2
1.60660E+1	3.17832E-1	3.12135E-3	2.71422E-1	1.17099E+0	8.62665E-2	2.94248E+2
1.67400E+1	3.17688E-1	3.11745E-3	2.71082E-1	1.17192E+0	8.61197E-2	2.94484E+2
1.74660E+1	3.17895E-1	3.11763E-3	2.71098E-1	1.17262E+0	8.61807E-2	2.94659E+2
1.81850E+1	3.17989E-1	3.11794E-3	2.71125E-1	1.17285E+0	8.62150E-2	2.94716E+2
1.89070E+1	3.18025E-1	3.11772E-3	2.71106E-1	1.17307E+0	8.62186E-2	2.94771E+2
1.96270E+1	3.18106E-1	3.11672E-3	2.71020E-1	1.17374E+0	8.62129E-2	2.94940E+2
2.03450E+1	3.18157E-1	3.11655E-3	2.71004E-1	1.17399E+0	8.62218E-2	2.95003E+2
2.10650E+1	3.18268E-1	3.11784E-3	2.71116E-1	1.17391E+0	8.62876E-2	2.94984E+2
