#date: 08.10.2020	time: 16:39:38
#t (s)	f (Hz)	A1 (V)	A2 (V)	phase (deg)	|Z| (Ohm)	Arg Z (Ohm)	Re Z (Ohm)	Im Z (deg)
19.88	1.0000E+4	3.7164	0.7937	+0.0	5.295E+1	-0.0	5.30E+1	-0.00E+0
20.11	2.0000E+4	3.7129	0.7929	-0.1	5.296E+1	+0.1	5.30E+1	1.18E-1
20.33	3.0000E+4	3.7252	0.7959	+0.7	5.298E+1	-0.9	5.30E+1	-8.23E-1
20.55	4.0000E+4	3.7168	0.7949	-0.3	5.305E+1	+0.4	5.30E+1	3.53E-1
20.75	5.0000E+4	3.7183	0.7959	-1.8	5.310E+1	+2.3	5.31E+1	2.12E+0
20.93	6.0000E+4	3.7164	0.7958	-2.3	5.312E+1	+2.9	5.30E+1	2.71E+0
21.11	7.0000E+4	3.7191	0.7972	-1.1	5.320E+1	+1.4	5.32E+1	1.30E+0
21.31	8.0000E+4	3.7205	0.7979	-1.3	5.323E+1	+1.7	5.32E+1	1.54E+0
21.51	9.0000E+4	3.7199	0.7982	-1.3	5.327E+1	+1.7	5.32E+1	1.54E+0
21.70	1.0000E+5	3.7212	0.7987	-0.7	5.329E+1	+0.9	5.33E+1	8.29E-1
21.88	1.1000E+5	3.7209	0.7992	+1.5	5.333E+1	-1.9	5.33E+1	-1.78E+0
22.08	1.2000E+5	3.7232	0.8002	+0.1	5.338E+1	-0.1	5.34E+1	-1.19E-1
22.26	1.3000E+5	3.7249	0.8004	-1.4	5.337E+1	+1.8	5.33E+1	1.66E+0
22.44	1.4000E+5	3.7276	0.8016	-1.0	5.342E+1	+1.3	5.34E+1	1.19E+0
22.63	1.5000E+5	3.7281	0.8020	-0.8	5.344E+1	+1.0	5.34E+1	9.51E-1
22.83	1.6000E+5	3.7272	0.8026	-2.1	5.350E+1	+2.7	5.34E+1	2.50E+0
23.01	1.7000E+5	3.7269	0.8027	-0.1	5.353E+1	+0.1	5.35E+1	1.19E-1
23.19	1.8000E+5	3.7311	0.8034	-1.1	5.351E+1	+1.4	5.35E+1	1.31E+0
23.38	1.9000E+5	3.7313	0.8037	-1.1	5.353E+1	+1.4	5.35E+1	1.31E+0
23.56	2.0000E+5	3.7289	0.8053	+0.3	5.371E+1	-0.4	5.37E+1	-3.59E-1
23.76	2.1000E+5	3.7313	0.8044	-1.0	5.359E+1	+1.3	5.36E+1	1.19E+0
23.96	2.2000E+5	3.7293	0.8048	-0.1	5.367E+1	+0.1	5.37E+1	1.19E-1
24.16	2.3000E+5	3.7266	0.8057	-1.7	5.378E+1	+2.2	5.37E+1	2.04E+0
